gene_id,group,RNA_Leaf_Zone_3_Growth,RNA_Root_Meristem_Zone_5_Days,Protein_Leaf_Zone_3_Growth,Protein_Root_Meristem_Zone_5_Days
Zm00001d023596,train,0.375790715097,0.0236044268454,0.375790715097,0.0236044268454
Zm00001d027734,train,3.9665837676199995,0.902208856385,3.9665837676199995,0.902208856385
Zm00001d002313,train,1.9992788663699999,1.49477601496,1.9992788663699999,1.49477601496
Zm00001d031684,train,4.129896044190001,3.77958361743,4.129896044190001,3.77958361743
Zm00001d022618,train,0.38499361018,1.0455702857,0.38499361018,1.0455702857
Zm00001d033510,test,2.7794509287,1.90959583681,2.7794509287,1.90959583681
Zm00001d029262,val,0.0,0.0,0.0,0.0
Zm00001d038190,train,4.85993430745,3.99207281439,4.85993430745,3.99207281439
Zm00001d019102,train,0.0359300383644,0.0,0.0359300383644,0.0
Zm00001d046676,train,0.58889616546,0.8347665861560001,0.58889616546,0.8347665861560001
Zm00001d031773,train,2.29916894822,0.643128268081,2.29916894822,0.643128268081
Zm00001d029580,train,0.117113079407,0.0987980524975,0.117113079407,0.0987980524975
Zm00001d032244,test,0.0,0.0,0.0,0.0
Zm00001d043500,train,2.37401996747,2.02692117597,2.37401996747,2.02692117597
Zm00001d034151,train,0.204854826733,0.0,0.204854826733,0.0
Zm00001d019110,train,0.0,0.09815080836819999,0.0,0.09815080836819999
Zm00001d045695,train,0.488291847888,0.178485603909,0.488291847888,0.178485603909
Zm00001d043410,train,6.38522704854,7.12036045104,6.38522704854,7.12036045104
Zm00001d019789,test,3.9937526906,2.8811965459900004,3.9937526906,2.8811965459900004
Zm00001d003335,train,0.0,0.0,0.0,0.0
Zm00001d039783,train,0.163443952124,0.0,0.163443952124,0.0
Zm00001d023648,train,0.0560895861651,0.18168447187399997,0.0560895861651,0.18168447187399997
Zm00001d028964,train,2.52100264428,0.842696092049,2.52100264428,0.842696092049
Zm00001d041456,train,6.96771424505,6.65146852227,6.96771424505,6.65146852227
Zm00001d049416,train,5.313208069130001,5.06362341999,5.313208069130001,5.06362341999
Zm00001d036196,train,4.951589052769999,4.73404397304,4.951589052769999,4.73404397304
Zm00001d010216,train,4.01234645374,2.6664632241999997,4.01234645374,2.6664632241999997
Zm00001d026239,val,4.15091416173,3.5405887740400006,4.15091416173,3.5405887740400006
Zm00001d005579,train,4.58222765652,1.9977748448800001,4.58222765652,1.9977748448800001
Zm00001d008261,val,5.524369607150001,6.780030061540001,5.524369607150001,6.780030061540001
Zm00001d044337,test,0.0193326876748,0.0,0.0193326876748,0.0
Zm00001d046978,val,2.48493199521,1.7308805344,2.48493199521,1.7308805344
Zm00001d053880,train,3.6746246035500003,0.0,3.6746246035500003,0.0
Zm00001d004102,train,0.0,0.0,0.0,0.0
Zm00001d018552,train,3.24093504481,4.47523980262,3.24093504481,4.47523980262
Zm00001d048856,train,3.8168570558,3.99430967002,3.8168570558,3.99430967002
Zm00001d052873,train,3.30125349676,4.11445559332,3.30125349676,4.11445559332
Zm00001d030347,train,0.6356836733110001,1.4146862479700002,0.6356836733110001,1.4146862479700002
Zm00001d014971,train,0.109254043249,2.72014948505,0.109254043249,2.72014948505
Zm00001d049526,train,4.34606473452,3.5679642105800005,4.34606473452,3.5679642105800005
Zm00001d001964,train,2.86195882405,2.44397515118,2.86195882405,2.44397515118
Zm00001d001961,train,0.115914889331,0.0,0.115914889331,0.0
Zm00001d047128,train,3.93260225631,2.8506225562400003,3.93260225631,2.8506225562400003
Zm00001d019233,test,3.84960551922,2.46749667532,3.84960551922,2.46749667532
Zm00001d035612,train,0.0500065246457,0.77552163839,0.0500065246457,0.77552163839
Zm00001d004443,val,0.653939290559,0.0,0.653939290559,0.0
